Taxa_in_SIA,TG,Sample_category
Angarotipula,Omnivore,Invertebrate
Caenis,Primcons,Invertebrate
Echinogammarus,Omnivore,Invertebrate
Ephemera,Omnivore,Invertebrate
Ephemerella,Omnivore,Invertebrate
Halesus,Omnivore,Invertebrate
Hydropsyche,Omnivore,Invertebrate
Leptocerus,Omnivore,Invertebrate
Odontocerum,Omnivore,Invertebrate
Oligochaeta,Primcons,Invertebrate
Philopotamus,Omnivore,Invertebrate
Physa,Omnivore,Invertebrate
Radix,Omnivore,Invertebrate
Sericostoma,Omnivore,Invertebrate
Setodes,Omnivore,Invertebrate
Simuliidae,Omnivore,Invertebrate
Tipula,Omnivore,Invertebrate
Agapetus,Primcons,Invertebrate
Ancylus,Primcons,Invertebrate
Baetis,Primcons,Invertebrate
Calamoceras,Primcons,Invertebrate
Dryops,Primcons,Invertebrate
Dupophilus,Primcons,Invertebrate
Ecdyonurus,Primcons,Invertebrate
Elmis,Primcons,Invertebrate
Elodes,Primcons,Invertebrate
Epeorus,Primcons,Invertebrate
Glyphotaelius,Primcons,Invertebrate
Habroleptoides,Primcons,Invertebrate
Lasiocephala,Primcons,Invertebrate
Lepidostoma,Primcons,Invertebrate
Leuctra,Primcons,Invertebrate
Limnephilidae,Omnivore,Invertebrate
Limnius,Primcons,Invertebrate
Normandia,Primcons,Invertebrate
Philopotamus,Omnivore,Invertebrate
Potamopyrgus,Primcons,Invertebrate
Protonemura,Primcons,Invertebrate
Rhithrogena,Primcons,Invertebrate
Silo,Primcons,Invertebrate
Alnus A,Resource,Resource
Bambusa A,Resource,Resource
Biofilm,Resource,Resource
Bryophyte,Resource,Resource
Castanea A,Resource,Resource
Cornus A,Resource,Resource
Corylus A,Resource,Resource
Fallopia A,Resource,Resource
FBOM,Resource,Resource
Filament,Resource,Resource
Fraxinus A,Resource,Resource
Hedera A,Resource,Resource
Juglans A,Resource,Resource
Laurus A,Resource,Resource
Platanus A,Resource,Resource
Quercus A,Resource,Resource
Rubus A,Resource,Resource
Salix A,Resource,Resource
Tamus A,Resource,Resource
Anguilla anguilla M,Carnivore,Fish
Atherix,Carnivore,Invertebrate
Barbatula quignardi M,Carnivore,Fish
Boyeria,Carnivore,Invertebrate
Calopteryx,Carnivore,Invertebrate
Chironomidae,Omnivore,Invertebrate
Cordulegaster,Carnivore,Invertebrate
Dolichopodidae,Carnivore,Invertebrate
Dugesia,Omnivore,Invertebrate
Gomphus,Carnivore,Invertebrate
Hexatoma,Omnivore,Invertebrate
Hirudinea,Carnivore,Invertebrate
Hyporhyacophila,Omnivore,Invertebrate
Nepa,Carnivore,Invertebrate
Onychogomphus,Carnivore,Invertebrate
Parachondrostoma arrigonis M,Primcons,Fish
Pararhyacophila,Omnivore,Invertebrate
Perla,Omnivore,Invertebrate
Phoxinus bigerri M,Omnivore,Fish
Polycelis,Carnivore,Invertebrate
Polycentropus,Omnivore,Invertebrate
Rhagionidae,Carnivore,Invertebrate
Rhyacophila,Omnivore,Invertebrate
Salmo trutta M,Carnivore,Fish
Tabanidae,Omnivore,Invertebrate
Tanypodinae,Omnivore,Invertebrate
